ID_REF,7471147002_R01C01,Detection Pval,7471147002_R01C02,Detection Pval.1,7471147002_R02C01,Detection Pval.2,7471147002_R02C02,Detection Pval.3,7471147002_R03C01,Detection Pval.4,7471147002_R03C02,Detection Pval.5,7471147002_R04C01,Detection Pval.6,7471147002_R04C02,Detection Pval.7,7471147002_R05C01,Detection Pval.8,7471147002_R05C02,Detection Pval.9,7471147002_R06C02,Detection Pval.10,7471147003_R01C02,Detection Pval.11,7471147003_R02C01,Detection Pval.12,7471147003_R02C02,Detection Pval.13,7471147003_R03C01,Detection Pval.14,7471147003_R03C02,Detection Pval.15,7471147003_R04C02,Detection Pval.16,7471147003_R05C01,Detection Pval.17,7471147003_R05C02,Detection Pval.18,7471147003_R06C01,Detection Pval.19,7471147003_R06C02,Detection Pval.20,7471147004_R01C01,Detection Pval.21,7471147004_R02C01,Detection Pval.22,7471147004_R03C01,Detection Pval.23,7471147004_R03C02,Detection Pval.24,7471147004_R04C01,Detection Pval.25,7471147004_R04C02,Detection Pval.26,7471147004_R05C01,Detection Pval.27,7471147004_R05C02,Detection Pval.28,7471147004_R06C01,Detection Pval.29,7471147004_R06C02,Detection Pval.30,7471147006_R01C01,Detection Pval.31,7471147006_R01C02,Detection Pval.32,7471147006_R02C01,Detection Pval.33,7471147006_R02C02,Detection Pval.34,7471147006_R03C01,Detection Pval.35,7471147006_R03C02,Detection Pval.36,7471147006_R04C01,Detection Pval.37,7471147006_R04C02,Detection Pval.38,7471147006_R05C01,Detection Pval.39,7471147006_R05C02,Detection Pval.40,7471147006_R06C01,Detection Pval.41,7471147006_R06C02,Detection Pval.42,7471147012_R01C01,Detection Pval.43,7471147012_R01C02,Detection Pval.44,7471147012_R02C01,Detection Pval.45,7471147012_R02C02,Detection Pval.46,7471147012_R03C01,Detection Pval.47,7471147012_R03C02,Detection Pval.48,7471147012_R04C01,Detection Pval.49
cg07222414,0.954518390388924,0.0,0.951406379948928,0.0,0.918517075439084,0.0,0.963909686418837,0.0,0.973281110081314,0.0,0.956843762351409,0.0,0.967959100367954,0.0,0.936748757952181,0.0,0.950852769903874,0.0,0.978697043620235,0.0,0.953234059191276,0.0,0.923585993027067,0.0,0.934699032667864,0.0,0.961458026378415,0.0,0.927770868267765,0.0,0.974344352833425,0.0,0.949012372066063,0.0,0.950285250245061,0.0,0.966920976026853,0.0,0.954085929138748,0.0,0.975373313914011,0.0,0.957094739761342,0.0,0.954467196447661,0.0,0.94884731778893,0.0,0.941207255483432,0.0,0.966337109536306,0.0,0.949598628308611,0.0,0.93179891156812,0.0,0.954894526626549,0.0,0.965094343814857,0.0,0.968034538594524,0.0,0.958792584548457,0.0,0.943657025883847,0.0,0.960131669024139,0.0,0.953815607737369,0.0,0.971047068526471,0.0,0.95444163287619,0.0,0.961198844005647,0.0,0.943408278083172,0.0,0.973380712108307,0.0,0.945141528168362,0.0,0.957061736144426,0.0,0.957155768566586,0.0,0.973951654016218,0.0,0.94955847628765,0.0,0.954092762509589,0.0,0.949326625033278,0.0,0.963073831225529,0.0,0.963381826303184,0.0,0.961553107841477,0.0
cg00397989,0.934821735007964,0.0,0.944842838186437,0.0,0.94893661666537,0.0,0.935576305298892,0.0,0.922465475538935,0.0,0.92259889952749,0.0,0.925087903192021,0.0,0.949046326629766,0.0,0.957993996161752,0.0,0.905050602292945,0.0,0.979364225889006,0.0,0.949137841530408,0.0,0.954243012851545,0.0,0.944481062279122,0.0,0.947070120932239,0.0,0.936822614909881,0.0,0.957384145752709,0.0,0.935866526937098,0.0,0.943662211518308,0.0,0.964007582051145,0.0,0.921454581256234,0.0,0.943175332139168,0.0,0.92634459810627,0.0,0.944941584655555,0.0,0.946394940633795,0.0,0.967554967591945,0.0,0.932856523486743,0.0,0.948437135271044,0.0,0.933603841359446,0.0,0.940084146725051,0.0,0.95826589569786,0.0,0.924912555261319,0.0,0.958494488570313,0.0,0.96166243964097,0.0,0.928665289838302,0.0,0.970293099582586,0.0,0.962828203149478,0.0,0.956369390188311,0.0,0.921225336439705,0.0,0.956962710472138,0.0,0.910253270033755,0.0,0.977986120009954,0.0,0.95828882386258,0.0,0.964539056554886,0.0,0.950527737425799,0.0,0.955250839506148,0.0,0.951430297679072,0.0,0.95987250587523,0.0,0.942235727216018,0.0,0.928975697924987,0.0
cg05131292,0.914867119667452,0.0,0.924271984953439,0.0,0.931908056732535,0.0,0.934450769083148,0.0,0.914320277488574,0.0,0.951853046735743,0.0,0.930689082538974,0.0,0.937781810088762,0.0,0.957094030241399,0.0,0.918751667211825,0.0,0.938156981670803,0.0,0.959944179681973,0.0,0.935137975932323,0.0,0.930471665461817,0.0,0.938924312193738,0.0,0.941665847672226,0.0,0.942345395511211,0.0,0.968024055579737,0.0,0.918659068383336,0.0,0.936521920554739,0.0,0.971679841887739,0.0,0.957020016497148,0.0,0.965144546004145,0.0,0.967517669301085,0.0,0.950018182727473,0.0,0.966304866561548,0.0,0.969755755717636,0.0,0.970682107702889,0.0,0.917890010549794,0.0,0.957477811654689,0.0,0.944409923856666,0.0,0.94054843271541,0.0,0.963423444556748,0.0,0.947646229638526,0.0,0.940253156532251,0.0,0.953791432636638,0.0,0.935752920215223,0.0,0.942861289169286,0.0,0.964466927308274,0.0,0.952999129728017,0.0,0.958992015694241,0.0,0.901854567384272,0.0,0.925868779398275,0.0,0.955643040300648,0.0,0.941573907404847,0.0,0.968949270125823,0.0,0.954016722928766,0.0,0.946197355037154,0.0,0.956886475809546,0.0,0.921268849219643,0.0
cg01963906,0.928617864268395,0.0,0.960571953297354,0.0,0.936710141406183,0.0,0.937001850918372,0.0,0.930360597921602,0.0,0.927104677950443,0.0,0.939634243190732,0.0,0.955977227745353,0.0,0.931626529030833,0.0,0.951637526014456,0.0,0.93953980496271,0.0,0.929795002284718,0.0,0.92544703706012,0.0,0.939762397243262,0.0,0.939611356747899,0.0,0.939846332252874,0.0,0.928737822017747,0.0,0.9494241276021,0.0,0.9457996244432,0.0,0.957918934466708,0.0,0.92021923325999,0.0,0.928417726714673,0.0,0.940362848077726,0.0,0.952818088046274,0.0,0.939611852194432,0.0,0.930268516393289,0.0,0.952178545555648,0.0,0.944895178742246,0.0,0.943760742917898,0.0,0.945783546568172,0.0,0.941928008135551,0.0,0.931427092437721,0.0,0.923731808902631,0.0,0.942209541154835,0.0,0.922932258134074,0.0,0.956399912109079,0.0,0.945539259913609,0.0,0.963247777870909,0.0,0.951960532752629,0.0,0.964413160373739,0.0,0.930445977513505,0.0,0.932594418941162,0.0,0.934126137547563,0.0,0.923158388154344,0.0,0.95132040412131,0.0,0.9610902362346,0.0,0.941775704878859,0.0,0.947174458538083,0.0,0.94847778211576,0.0,0.92999311301448,0.0
cg00245957,0.963844278727189,0.0,0.921146488581059,0.0,0.907602462189753,0.0,0.951294844568937,0.0,0.934665271611428,0.0,0.949885318374358,0.0,0.971281342158044,0.0,0.977432289987358,0.0,0.936455600681715,0.0,0.94327323030162,0.0,0.924606571713995,0.0,0.942500253270489,0.0,0.909571702539829,0.0,0.965412127631706,0.0,0.922323656828796,0.0,0.936421649459439,0.0,0.953270582781615,0.0,0.965337302896365,0.0,0.922303841953617,0.0,0.93278731083681,0.0,0.945674847743507,0.0,0.955761844934862,0.0,0.955046165641083,0.0,0.939922930635688,0.0,0.902427455891035,0.0,0.947110953557831,0.0,0.955749202133879,0.0,0.962739269953456,0.0,0.944339578583686,0.0,0.961988081925254,0.0,0.930787268979952,0.0,0.938172188267447,0.0,0.946853562868625,0.0,0.966181717219774,0.0,0.956774984149531,0.0,0.927566592814881,0.0,0.93927018285612,0.0,0.928471120684422,0.0,0.949921643706117,0.0,0.954057136920728,0.0,0.944565338715533,0.0,0.959522007324174,0.0,0.939053022042507,0.0,0.965115623667633,0.0,0.961243562101941,0.0,0.940094928291181,0.0,0.932084392509679,0.0,0.927548336884445,0.0,0.943163781661345,0.0,0.932773494143169,0.0
cg00647859,0.924955150535606,0.0,0.981308291587738,0.0,0.931747454319201,0.0,0.952051566626176,0.0,0.934653336937679,0.0,0.93684246758498,0.0,0.948484441847266,0.0,0.952699534842333,0.0,0.944208292212564,0.0,0.932702632926616,0.0,0.912010539019061,0.0,0.939457094286607,0.0,0.941881230959879,0.0,0.957112138936153,0.0,0.953119729377165,0.0,0.959333083484446,0.0,0.920344938753047,0.0,0.934067942095248,0.0,0.957087358278421,0.0,0.907870488005966,0.0,0.943523877500784,0.0,0.949062385052989,0.0,0.966759094937053,0.0,0.949011185928267,0.0,0.95140254251092,0.0,0.947950278866695,0.0,0.941110455032122,0.0,0.919802153584741,0.0,0.939781669199503,0.0,0.966797200021284,0.0,0.949315637087633,0.0,0.932816586853899,0.0,0.969922209932228,0.0,0.938324359408775,0.0,0.938920150716834,0.0,0.947287378416648,0.0,0.939805583334752,0.0,0.960609722802877,0.0,0.920958369633746,0.0,0.964945819007979,0.0,0.945673289342324,0.0,0.912158306511032,0.0,0.924493797090181,0.0,0.950905067979314,0.0,0.942856039567337,0.0,0.944300768552783,0.0,0.962951454066389,0.0,0.943442452044919,0.0,0.932148688402501,0.0,0.936697241226756,0.0
cg04506114,0.907471939588632,0.0,0.958800194174547,0.0,0.945239425678712,0.0,0.947223642264414,0.0,0.954659312597701,0.0,0.938731805528765,0.0,0.975397415503012,0.0,0.965567358933022,0.0,0.944737642542656,0.0,0.929183047544688,0.0,0.947082079921389,0.0,0.971542020677493,0.0,0.927901599771613,0.0,0.956610001857255,0.0,0.954556131921126,0.0,0.957332754256432,0.0,0.959323510164588,0.0,0.933564786515769,0.0,0.930707715401387,0.0,0.935952852883112,0.0,0.916979765563351,0.0,0.949845214790673,0.0,0.941759219201971,0.0,0.929357658266288,0.0,0.943741441722326,0.0,0.973389340417783,0.0,0.941056257331583,0.0,0.907562087540096,0.0,0.949704232147638,0.0,0.958362406514872,0.0,0.950891505051052,0.0,0.958138839980829,0.0,0.955204526924101,0.0,0.910023704252878,0.0,0.932610213585405,0.0,0.957911139192768,0.0,0.967736499236168,0.0,0.958138174804526,0.0,0.96308904844229,0.0,0.9378710232194,0.0,0.950826483288974,0.0,0.941815596400361,0.0,0.918240526837545,0.0,0.94311947771324,0.0,0.964058527112233,0.0,0.956394319082942,0.0,0.954311919960276,0.0,0.96720009268576,0.0,0.951957853523326,0.0,0.938074793907843,0.0
cg01939891,0.930897878036685,0.0,0.943324474942278,0.0,0.930637349259675,0.0,0.90147776572752,0.0,0.961977621825504,0.0,0.929729919742069,0.0,0.929733172985315,0.0,0.936727763955462,0.0,0.954368084274261,0.0,0.913199041663546,0.0,0.94205643603819,0.0,0.919372912159022,0.0,0.96262159492879,0.0,0.95185980606974,0.0,0.952375882696259,0.0,0.954164192218082,0.0,0.971071935948999,0.0,0.956813544467961,0.0,0.937486945081432,0.0,0.948498058262663,0.0,0.964839986073684,0.0,0.93391348431239,0.0,0.941198759068638,0.0,0.947750665927589,0.0,0.95035358821712,0.0,0.962182433819783,0.0,0.957508154694375,0.0,0.944385889154296,0.0,0.958641215372343,0.0,0.95197958169922,0.0,0.956798821747832,0.0,0.94849871605985,0.0,0.972902887596993,0.0,0.964673752051228,0.0,0.945099046605503,0.0,0.954392861088429,0.0,0.931693429613708,0.0,0.94956500125675,0.0,0.930753193130657,0.0,0.940664799138539,0.0,0.920079715151575,0.0,0.936258096482338,0.0,0.943013380877192,0.0,0.923282784689029,0.0,0.950570030478879,0.0,0.942287395130495,0.0,0.95006669656203,0.0,0.928217933708394,0.0,0.93452937592518,0.0,0.935545064370625,0.0
cg04105597,0.921716143072373,0.0,0.954517683586936,0.0,0.972306071916507,0.0,0.946970114796063,0.0,0.927874315158318,0.0,0.968046142615256,0.0,0.954299421949688,0.0,0.935089166837893,0.0,0.943378661554993,0.0,0.919145353645281,0.0,0.934573294566906,0.0,0.935584974495768,0.0,0.948316685046183,0.0,0.947713597974419,0.0,0.939762598312227,0.0,0.946582729796791,0.0,0.932822203472185,0.0,0.957264408856485,0.0,0.950261880726299,0.0,0.949348113561685,0.0,0.939911585419865,0.0,0.928283977175033,0.0,0.963499400384956,0.0,0.942021705346501,0.0,0.958470957263031,0.0,0.934182295942637,0.0,0.960301798050523,0.0,0.930549872399467,0.0,0.95624975152422,0.0,0.941623898790235,0.0,0.955937546327236,0.0,0.952340169564962,0.0,0.938907643119541,0.0,0.933998798992783,0.0,0.933693788278496,0.0,0.952698697436389,0.0,0.928473593435813,0.0,0.921651335063858,0.0,0.936468582848837,0.0,0.953361310132264,0.0,0.942308284333133,0.0,0.935119864856461,0.0,0.95420314909365,0.0,0.921868253464694,0.0,0.9302977566851,0.0,0.962301006485955,0.0,0.93065326062519,0.0,0.951156451756797,0.0,0.954590070039356,0.0,0.946986019329574,0.0
cg03966708,0.956656315445707,0.0,0.914340231121816,0.0,0.928306033936175,0.0,0.938042911780237,0.0,0.914390704795226,0.0,0.962438741680477,0.0,0.923448187609655,0.0,0.929896612662848,0.0,0.939431388260883,0.0,0.934678636285715,0.0,0.926525752221258,0.0,0.979428493217767,0.0,0.933334508646212,0.0,0.937965170077828,0.0,0.918986920858962,0.0,0.94226339630463,0.0,0.954824490832607,0.0,0.935854462371411,0.0,0.918465698136565,0.0,0.93229510618254,0.0,0.978686926354886,0.0,0.938434552674761,0.0,0.943457770521987,0.0,0.955833588023607,0.0,0.949634522651086,0.0,0.951804492697557,0.0,0.942480287666176,0.0,0.920703895262196,0.0,0.930490015350443,0.0,0.94706956321725,0.0,0.927200549529743,0.0,0.943804868561515,0.0,0.945487625925131,0.0,0.916437408969191,0.0,0.947611390671437,0.0,0.95244150046153,0.0,0.944145303487578,0.0,0.892883165314117,0.0,0.957050795334969,0.0,0.957511478408408,0.0,0.950959518255513,0.0,0.92580668791525,0.0,0.943985695253177,0.0,0.922984288507401,0.0,0.940013095414378,0.0,0.938914647443604,0.0,0.936577189514415,0.0,0.943704626058905,0.0,0.95383390489549,0.0,0.923625513158629,0.0
