"CpG","Weight","Methylation_Change"
"cg00860090",-1.30506002424717,"Hypomethylated"
"cg00653615",-1.00739710387472,"Hypomethylated"
"cg02901139",-0.832997054722556,"Hypomethylated"
"cg01832549",0.816414273680172,"Hypermethylated"
"cg01561629",-0.78125469005001,"Hypomethylated"
"cg01901101",0.708523054395712,"Hypermethylated"
"cg00116092",0.690920578596451,"Hypermethylated"
"cg02294302",-0.651439116541143,"Hypomethylated"
"cg02361903",-0.583553654860986,"Hypomethylated"
"cg01974375",-0.567914497078469,"Hypomethylated"
"cg00251125",-0.564916322455818,"Hypomethylated"
"cg00019759",0.540876921741564,"Hypermethylated"
"cg01789150",0.53643843647482,"Hypermethylated"
"cg02177231",0.536273418730829,"Hypermethylated"
"cg01557798",0.530230938039303,"Hypermethylated"
"cg00891995",-0.515322130060633,"Hypomethylated"
"cg00039326",-0.507321623743529,"Hypomethylated"
"cg01785514",-0.504681801127025,"Hypomethylated"
"cg02431597",0.503328359116554,"Hypermethylated"
"cg01352586",0.498955625763439,"Hypermethylated"
"cg01459453",-0.480884669899174,"Hypomethylated"
"cg01422881",0.461390986888904,"Hypermethylated"
"cg00949753",0.456831728393735,"Hypermethylated"
"cg01495321",0.443345491016537,"Hypermethylated"
"cg01850505",-0.435192253802799,"Hypomethylated"
"cg01101380",0.42126177178113,"Hypermethylated"
"cg02495604",0.41939291632861,"Hypermethylated"
"cg00658007",0.399126077867866,"Hypermethylated"
"cg02195657",0.394798053615581,"Hypermethylated"
"cg00995520",-0.392321228375424,"Hypomethylated"
"cg01175767",0.387896801334846,"Hypermethylated"
"cg02393845",0.379982796110474,"Hypermethylated"
"cg00069002",0.37813432705318,"Hypermethylated"
"cg02063759",0.371005983664679,"Hypermethylated"
"cg00923634",-0.361081371723131,"Hypomethylated"
"cg00698169",0.360668496554637,"Hypermethylated"
"cg02415029",-0.360351086998104,"Hypomethylated"
"cg00020474",0.352097333365985,"Hypermethylated"
"cg01554474",-0.351252855325327,"Hypomethylated"
"cg00701741",-0.346472443092897,"Hypomethylated"
"cg02363950",-0.340720829290413,"Hypomethylated"
"cg00016968",-0.339159329064717,"Hypomethylated"
"cg00638574",-0.333783618294141,"Hypomethylated"
"cg00791468",-0.318964568187881,"Hypomethylated"
"cg02978140",0.316198815550396,"Hypermethylated"
"cg02361878",0.310200012466216,"Hypermethylated"
"cg01747664",-0.301394342821159,"Hypomethylated"
"cg00145253",0.29902970913987,"Hypermethylated"
"cg01185754",0.294391714092643,"Hypermethylated"
"cg00178850",-0.293966532446434,"Hypomethylated"
